item index num(items[i]),id of checkin,createdAt,createdATDateTimeFormat,createdAtDate,,createdAtDay,createdAtTime,venue name,location lat,location long
109,501073bfe4b0454c63ce7438,1343255487,7/25/12 6:31 PM,"Wednesday, July 25, 12","Wednesday, July 25, 12",Wednesday,6:31 PM,LaGuardia Airport (LGA),40.773839,-73.87122
110,5010399ee4b0afaa4afd8591,1343240606,7/25/12 2:23 PM,"Wednesday, July 25, 12","Wednesday, July 25, 12",Wednesday,2:23 PM,Miami International Airport (MIA),25.79498411,-80.27576923
111,500f250ae4b0b3861a8e73fc,1343169802,7/24/12 6:43 PM,"Tuesday, July 24, 12","Tuesday, July 24, 12",Tuesday,6:43 PM,Parque El Ejido,-0.208538074,-78.49738375
112,500f243de4b0234577610278,1343169597,7/24/12 6:39 PM,"Tuesday, July 24, 12","Tuesday, July 24, 12",Tuesday,6:39 PM,Mercado Artesanal La Mariscal,-0.206867936,-78.49533622
113,500e9327e4b0f6032ed1bd9b,1343132455,7/24/12 8:20 AM,"Tuesday, July 24, 12","Tuesday, July 24, 12",Tuesday,8:20 AM,Cafe Cultura,-0.206636935,-78.49469662
114,500e1b3ce4b0b3861a1de5d3,1343101756,7/23/12 11:49 PM,"Monday, July 23, 12","Monday, July 23, 12",Monday,11:49 PM,Mitad Del Mundo,-0.203720248,-78.49462595
115,500842a7e4b0d180bb81c971,1342718631,7/19/12 1:23 PM,"Thursday, July 19, 12","Thursday, July 19, 12",Thursday,1:23 PM,Charles Darwin Station,-0.742709413,-90.31155506
116,50037d46e4b0ded98f6a7ae7,1342405958,7/15/12 10:32 PM,"Sunday, July 15, 12","Sunday, July 15, 12",Sunday,10:32 PM,La Boca del Lobo,-0.202569,-78.490465
117,50034bf9e4b031e9cbc3c754,1342393337,7/15/12 7:02 PM,"Sunday, July 15, 12","Sunday, July 15, 12",Sunday,7:02 PM,La Guaragua,-0.221464082,-78.51074696
118,5002cfe1e4b05245824b5b4a,1342361569,7/15/12 10:12 AM,"Sunday, July 15, 12","Sunday, July 15, 12",Sunday,10:12 AM,Cafe Cultura,-0.206636935,-78.49469662
119,5002cfd1e4b04c8e7571304a,1342361553,7/15/12 10:12 AM,"Sunday, July 15, 12","Sunday, July 15, 12",Sunday,10:12 AM,Aeropuerto Internacional Mariscal Sucre (UIO),-0.14629825,-78.48993301
120,5001d8bce4b0a74a528779e9,1342298300,7/14/12 4:38 PM,"Saturday, July 14, 12","Saturday, July 14, 12",Saturday,4:38 PM,Miami International Airport (MIA),25.79498411,-80.27576923
121,500024d7e4b0c1f04fe891d0,1342186711,7/13/12 9:38 AM,"Friday, July 13, 12","Friday, July 13, 12",Friday,9:38 AM,ChatID,40.73870023,-73.9890146
122,4fff7752e4b02126b74f980d,1342142290,7/12/12 9:18 PM,"Thursday, July 12, 12","Thursday, July 12, 12",Thursday,9:18 PM,Tompkins Square Park,40.72651075,-73.98171902
123,4fff4e47e4b0396b177e0cfd,1342131783,7/12/12 6:23 PM,"Thursday, July 12, 12","Thursday, July 12, 12",Thursday,6:23 PM,ChatID,40.73870023,-73.9890146
124,4fff1ecfe4b0671608f59522,1342119631,7/12/12 3:00 PM,"Thursday, July 12, 12","Thursday, July 12, 12",Thursday,3:00 PM,Chat 'n Chew,40.73703263,-73.99194719
125,4ffeddb4e4b0cd5639f80c9e,1342102964,7/12/12 10:22 AM,"Thursday, July 12, 12","Thursday, July 12, 12",Thursday,10:22 AM,David's Bagels,40.73224896,-73.98166284
